instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
bur26d,STEEPEST,3830168,15,68,6175,4225838
bur26d,STEEPEST,3850817,16,56,6500,4227283
bur26d,STEEPEST,3823554,16,75,6500,4103017
bur26d,STEEPEST,3853808,17,82,7150,4188680
bur26d,STEEPEST,3858640,16,59,5850,4286076
bur26d,STEEPEST,3836022,17,60,7150,4086507
bur26d,STEEPEST,3837832,18,73,6825,4297824
bur26d,STEEPEST,3851224,18,97,7800,4397586
bur26d,STEEPEST,3865472,13,45,5525,4178914
bur26d,STEEPEST,3874767,17,80,7150,4305387
bur26d,STEEPEST,3831715,19,68,7150,4427687
bur26d,STEEPEST,3849239,19,89,8125,4173882
bur26d,STEEPEST,3873478,19,83,8450,4234589
bur26d,STEEPEST,3831283,19,66,7150,4286719
bur26d,STEEPEST,3832770,20,73,8125,4133544
bur26d,STEEPEST,3822128,22,100,9425,4240746
bur26d,STEEPEST,3822276,12,63,5525,4088801
bur26d,STEEPEST,3858555,13,56,5525,4251225
bur26d,STEEPEST,3837332,15,84,6175,4136470
bur26d,STEEPEST,3864739,16,76,6500,4248843
bur26d,STEEPEST,3835335,16,67,7150,4308423
bur26d,STEEPEST,3860092,17,71,6500,4256222
bur26d,STEEPEST,3822099,19,69,6500,4163951
bur26d,STEEPEST,3822029,19,54,5525,4284857
bur26d,STEEPEST,3830502,14,70,6175,4077608
bur26d,STEEPEST,3832059,15,66,6175,4353394
bur26d,STEEPEST,3884882,16,85,6500,4302922
bur26d,STEEPEST,3863273,16,76,6825,4255083
bur26d,STEEPEST,3827783,16,64,6825,4120987
bur26d,STEEPEST,3835398,17,90,7150,4312783
bur26d,STEEPEST,3821257,17,60,5525,4137726
bur26d,STEEPEST,3867906,20,71,8450,4270857
bur26d,STEEPEST,3847999,15,76,6175,4184044
bur26d,STEEPEST,3822088,15,90,6175,4300590
bur26d,STEEPEST,3821555,15,73,6500,4186830
bur26d,STEEPEST,3824768,14,58,5525,4132469
bur26d,STEEPEST,3862250,17,85,7475,4274980
bur26d,STEEPEST,3828898,18,75,7800,4330190
bur26d,STEEPEST,3835660,18,87,6175,4285513
bur26d,STEEPEST,3832526,19,82,8125,4262689
bur26d,STEEPEST,3858373,13,64,5525,4233056
bur26d,STEEPEST,3863066,16,75,7800,4211204
bur26d,STEEPEST,3851961,17,78,7150,4244379
bur26d,STEEPEST,3832920,18,71,7150,4243203
bur26d,STEEPEST,3871680,18,93,7475,4346597
bur26d,STEEPEST,3821667,18,95,7475,4337538
bur26d,STEEPEST,3823121,24,104,9100,4338956
bur26d,STEEPEST,3837511,13,62,6500,4257620
bur26d,STEEPEST,3836022,13,50,5525,4138999
bur26d,STEEPEST,3821741,13,65,5525,4330004
bur26d,STEEPEST,3822276,15,59,6175,4218813
bur26d,STEEPEST,3832389,16,75,7150,4252957
bur26d,STEEPEST,3836922,14,71,5525,4206938
bur26d,STEEPEST,3824143,18,67,6825,4299127
bur26d,STEEPEST,3871965,18,56,6175,4232771
bur26d,STEEPEST,3827279,20,99,9100,4252992
bur26d,STEEPEST,3850556,12,56,5200,4208031
bur26d,STEEPEST,3832391,16,64,6500,4136099
bur26d,STEEPEST,3868309,16,75,6825,4288668
bur26d,STEEPEST,3832763,17,105,6825,4127256
bur26d,STEEPEST,3832059,18,81,7800,4260469
bur26d,STEEPEST,3831987,19,107,9100,4242960
bur26d,STEEPEST,3831279,20,108,9425,4124314
bur26d,STEEPEST,3835133,21,92,6500,4269851
bur26d,STEEPEST,3833862,12,60,4875,4231435
bur26d,STEEPEST,3870813,14,73,5850,4304732
bur26d,STEEPEST,3829735,14,74,5850,4244506
bur26d,STEEPEST,3836047,15,64,6175,4186906
bur26d,STEEPEST,3821555,15,66,6500,4405198
bur26d,STEEPEST,3822035,16,89,7475,4046258
bur26d,STEEPEST,3834562,17,63,6825,4147545
bur26d,STEEPEST,3856777,18,72,7475,4296110
bur26d,STEEPEST,3849175,12,61,4875,4176798
bur26d,STEEPEST,3886065,13,61,5525,4164571
bur26d,STEEPEST,3856293,14,68,5850,4242508
bur26d,STEEPEST,3829797,17,81,7150,4198579
bur26d,STEEPEST,3822163,17,59,5525,4225066
bur26d,STEEPEST,3831839,17,70,7150,4306612
bur26d,STEEPEST,3831404,19,96,7475,4211378
bur26d,STEEPEST,3843974,19,67,7800,4214190
bur26d,STEEPEST,3859773,14,52,5525,4301582
bur26d,STEEPEST,3829737,14,70,5850,4098864
bur26d,STEEPEST,3868122,14,68,5850,4224728
bur26d,STEEPEST,3852861,15,68,5850,4254661
bur26d,STEEPEST,3835263,15,80,6500,4127937
bur26d,STEEPEST,3833910,17,76,7150,4108481
bur26d,STEEPEST,3830563,18,112,7475,4176004
bur26d,STEEPEST,3832360,19,104,9425,4237094
bur26d,STEEPEST,3834926,12,68,6500,4284729
bur26d,STEEPEST,3833804,16,81,7150,4269404
bur26d,STEEPEST,3836133,17,83,7150,4188164
bur26d,STEEPEST,3851809,17,77,7150,4233690
bur26d,STEEPEST,3834761,18,75,7475,4207842
bur26d,STEEPEST,3821649,18,80,8125,4191608
bur26d,STEEPEST,3828864,18,98,7800,4099939
bur26d,STEEPEST,3843109,13,72,7150,4201279
bur26d,STEEPEST,3862445,15,78,6175,4250866
bur26d,STEEPEST,3848801,15,67,6175,4113774
bur26d,STEEPEST,3821786,14,62,6175,4309271
bur26d,STEEPEST,3835906,16,72,6500,4254277
bur26d,STEEPEST,3870507,18,75,7475,4263532
bur26d,STEEPEST,3851612,19,81,7800,4269975
bur26d,STEEPEST,3830283,19,77,7475,4224826
bur26d,STEEPEST,3829301,20,68,6825,4151235
bur26d,STEEPEST,3829959,14,69,5850,4138634
bur26d,STEEPEST,3858799,15,59,6175,4176052
bur26d,STEEPEST,3852226,15,72,6825,4099355
bur26d,STEEPEST,3822042,17,65,6825,4263313
bur26d,STEEPEST,3859218,17,70,7150,4194227
bur26d,STEEPEST,3831542,18,58,7800,4136005
bur26d,STEEPEST,3829862,19,96,8125,4201264
bur26d,STEEPEST,3860067,21,72,8125,4358715
bur26d,STEEPEST,3847114,14,64,5850,4211161
bur26d,STEEPEST,3858568,15,71,6175,4232650
bur26d,STEEPEST,3829922,14,68,5850,4180724
bur26d,STEEPEST,3821622,16,82,6175,4152984
bur26d,STEEPEST,3850029,16,75,7150,4258471
bur26d,STEEPEST,3859649,16,54,5850,4223216
bur26d,STEEPEST,3829964,19,87,7800,4258466
bur26d,STEEPEST,3822509,21,78,7150,4154600
bur26d,STEEPEST,3824636,15,69,6175,4140432
bur26d,STEEPEST,3853237,16,61,4875,4170050
bur26d,STEEPEST,3886946,17,85,6825,4176515
bur26d,STEEPEST,3848629,17,59,7150,4096343
