instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,STEEPEST,620,0,14,396,764
nug12,STEEPEST,600,0,10,396,758
nug12,STEEPEST,600,0,18,462,766
nug12,STEEPEST,586,0,22,660,892
nug12,STEEPEST,616,0,14,462,800
nug12,STEEPEST,626,0,14,396,834
nug12,STEEPEST,624,0,14,330,916
nug12,STEEPEST,610,0,14,462,760
nug12,STEEPEST,600,0,16,462,842
nug12,STEEPEST,616,0,10,396,736
nug12,STEEPEST,608,0,9,330,776
nug12,STEEPEST,606,0,15,462,802
nug12,STEEPEST,600,0,17,462,842
nug12,STEEPEST,604,0,20,462,870
nug12,STEEPEST,594,0,22,594,874
nug12,STEEPEST,582,0,14,528,782
nug12,STEEPEST,622,0,17,396,762
nug12,STEEPEST,608,0,13,396,862
nug12,STEEPEST,594,0,24,660,924
nug12,STEEPEST,648,0,18,330,766
nug12,STEEPEST,608,0,16,594,780
nug12,STEEPEST,590,0,11,462,850
nug12,STEEPEST,612,0,16,594,844
nug12,STEEPEST,592,0,20,660,802
nug12,STEEPEST,616,0,10,396,774
nug12,STEEPEST,632,0,16,396,880
nug12,STEEPEST,590,0,18,594,780
nug12,STEEPEST,600,0,11,528,806
nug12,STEEPEST,608,0,16,528,876
nug12,STEEPEST,604,0,18,594,918
nug12,STEEPEST,632,0,11,396,798
nug12,STEEPEST,602,0,15,528,916
nug12,STEEPEST,618,0,18,462,870
nug12,STEEPEST,612,0,13,396,858
nug12,STEEPEST,600,0,20,594,880
nug12,STEEPEST,614,0,18,660,864
nug12,STEEPEST,596,0,9,330,684
nug12,STEEPEST,610,0,18,594,830
nug12,STEEPEST,620,0,13,462,820
nug12,STEEPEST,622,0,12,330,746
nug12,STEEPEST,612,0,16,462,852
nug12,STEEPEST,604,0,9,396,750
nug12,STEEPEST,606,0,8,330,730
nug12,STEEPEST,632,0,13,330,804
nug12,STEEPEST,578,0,17,594,850
nug12,STEEPEST,622,0,11,396,818
nug12,STEEPEST,616,0,10,330,782
nug12,STEEPEST,622,0,13,396,806
nug12,STEEPEST,624,0,16,528,874
nug12,STEEPEST,602,0,20,528,850
nug12,STEEPEST,590,0,11,528,804
nug12,STEEPEST,630,0,10,462,772
nug12,STEEPEST,638,0,10,330,754
nug12,STEEPEST,622,0,13,330,822
nug12,STEEPEST,608,0,14,396,816
nug12,STEEPEST,610,0,13,462,824
nug12,STEEPEST,596,0,11,396,760
nug12,STEEPEST,620,0,10,396,798
nug12,STEEPEST,612,0,13,462,764
nug12,STEEPEST,628,0,11,396,786
nug12,STEEPEST,606,0,14,396,872
nug12,STEEPEST,578,0,16,462,762
nug12,STEEPEST,628,0,15,396,750
nug12,STEEPEST,630,0,13,396,832
nug12,STEEPEST,624,0,13,528,806
nug12,STEEPEST,606,0,18,528,858
nug12,STEEPEST,630,0,11,396,830
nug12,STEEPEST,592,0,15,594,712
nug12,STEEPEST,608,0,17,528,826
nug12,STEEPEST,640,0,10,330,818
nug12,STEEPEST,600,0,14,396,794
nug12,STEEPEST,578,0,17,528,832
nug12,STEEPEST,586,0,17,528,884
nug12,STEEPEST,642,0,17,462,866
nug12,STEEPEST,600,0,13,462,862
nug12,STEEPEST,606,0,18,462,890
nug12,STEEPEST,614,0,18,528,826
nug12,STEEPEST,608,0,16,462,794
nug12,STEEPEST,596,0,15,396,848
nug12,STEEPEST,610,0,15,462,896
nug12,STEEPEST,628,0,7,264,822
nug12,STEEPEST,602,0,18,396,788
nug12,STEEPEST,600,0,18,528,882
nug12,STEEPEST,600,0,9,396,820
nug12,STEEPEST,604,0,18,528,852
nug12,STEEPEST,634,0,7,330,800
nug12,STEEPEST,642,0,15,396,788
nug12,STEEPEST,600,0,7,330,728
nug12,STEEPEST,600,0,14,528,786
nug12,STEEPEST,598,0,15,528,830
nug12,STEEPEST,604,0,24,726,906
nug12,STEEPEST,590,0,13,396,844
nug12,STEEPEST,604,0,14,330,796
nug12,STEEPEST,618,0,15,396,834
nug12,STEEPEST,642,0,8,264,792
nug12,STEEPEST,620,0,9,264,858
nug12,STEEPEST,608,0,19,528,886
