instance,algorithm,cost,permutation
bur26f,STEEPEST,3783903,8 6 11 1 18 2 19 15 17 3 5 22 14 4 9 20 0 13 10 12 16 21 25 23 7 24
bur26f,STEEPEST,3783182,8 19 10 20 18 1 3 7 16 24 25 2 4 21 9 0 23 12 13 11 17 22 5 14 15 6
bur26f,STEEPEST,3782565,8 23 13 2 18 21 3 15 17 7 25 20 14 4 9 22 19 11 10 12 16 0 24 1 6 5
bur26f,STEEPEST,3797282,14 2 8 4 11 7 3 21 10 0 20 24 25 15 13 9 22 16 18 17 12 6 1 5 19 23
bur26f,STEEPEST,3782713,7 3 13 22 17 20 23 25 18 8 24 14 1 19 9 4 2 10 12 11 16 21 5 0 15 6
bur26f,STEEPEST,3782725,8 21 12 4 18 20 19 6 17 7 5 23 14 3 9 2 0 13 10 11 16 1 24 22 15 25
bur26f,STEEPEST,3807991,2 4 17 7 12 8 20 22 10 0 23 24 15 5 21 9 1 16 11 18 13 6 14 25 19 3
bur26f,STEEPEST,3782806,7 1 11 22 17 3 19 6 18 8 5 2 23 21 9 20 0 12 10 13 16 14 24 4 15 25
bur26f,STEEPEST,3796089,14 19 25 4 11 8 5 0 12 21 1 7 6 9 13 15 23 17 16 18 10 24 20 22 3 2
bur26f,STEEPEST,3799336,14 4 7 8 12 0 22 19 11 1 21 5 6 15 13 9 3 16 17 18 10 24 2 25 20 23
bur26f,STEEPEST,3801400,8 5 4 0 18 19 1 25 17 23 24 14 22 16 11 2 20 13 12 10 9 21 15 3 7 6
bur26f,STEEPEST,3814492,12 19 9 7 10 1 8 14 13 3 0 25 6 11 18 20 24 16 15 17 4 5 23 21 22 2
bur26f,STEEPEST,3782225,8 14 19 21 18 23 0 24 17 7 25 12 3 1 9 4 2 11 10 13 16 22 5 20 15 6
bur26f,STEEPEST,3795565,14 1 24 8 13 6 5 4 12 21 22 9 7 11 3 15 20 17 16 18 10 25 23 0 2 19
bur26f,STEEPEST,3783117,15 0 14 21 16 19 3 9 18 22 5 12 2 1 24 4 25 11 13 10 17 23 6 20 8 7
bur26f,STEEPEST,3834899,13 25 6 15 17 24 5 20 18 23 0 2 1 12 10 8 3 4 11 16 9 21 14 19 7 22
bur26f,STEEPEST,3796053,2 3 25 4 10 8 6 14 11 20 23 7 15 9 12 24 19 17 16 18 13 5 0 21 1 22
