instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,ANNEALING,788,7,3722,4861,732
nug12,ANNEALING,884,4,2516,2540,856
nug12,ANNEALING,854,7,3720,4564,866
nug12,ANNEALING,706,7,3451,4458,812
nug12,ANNEALING,660,9,3479,5668,766
nug12,ANNEALING,774,9,3619,4307,886
nug12,ANNEALING,706,8,3452,3645,762
nug12,ANNEALING,748,6,3386,4318,748
nug12,ANNEALING,724,6,3823,4289,774
nug12,ANNEALING,676,7,3751,4100,812
nug12,ANNEALING,758,6,2358,2404,730
nug12,ANNEALING,784,7,3368,4162,824
nug12,ANNEALING,776,7,3606,4101,802
nug12,ANNEALING,700,8,3905,5141,882
nug12,ANNEALING,802,18,4141,5198,850
nug12,ANNEALING,884,8,4206,5366,884
nug12,ANNEALING,678,8,3772,5623,768
nug12,ANNEALING,774,9,3658,5832,798
nug12,ANNEALING,614,8,3229,5088,774
nug12,ANNEALING,808,6,3821,4003,866
nug12,ANNEALING,868,0,660,660,868
nug12,ANNEALING,854,1,834,835,846
nug12,ANNEALING,724,4,2451,2484,748
nug12,ANNEALING,716,5,3383,5394,710
nug12,ANNEALING,764,6,3528,4506,764
nug12,ANNEALING,756,4,3906,4945,820
nug12,ANNEALING,720,5,3447,3951,856
nug12,ANNEALING,804,6,3333,4491,780
nug12,ANNEALING,792,5,3378,4530,852
nug12,ANNEALING,762,5,3595,4476,810
nug12,TABU,602,1,14,18,794
nug12,TABU,578,1,17,20,814
nug12,TABU,600,2,24,29,824
nug12,TABU,586,2,26,31,822
nug12,TABU,610,1,18,21,860
nug12,TABU,600,2,30,35,836
nug12,TABU,594,1,18,21,908
nug12,TABU,622,1,16,20,722
nug12,TABU,610,1,16,20,724
nug12,TABU,608,1,17,21,860
nug12,TABU,596,1,24,29,846
nug12,TABU,586,1,20,24,868
nug12,TABU,590,1,17,21,836
nug12,TABU,602,1,19,25,778
nug12,TABU,586,0,18,22,878
nug12,TABU,594,2,24,30,864
nug12,TABU,628,0,18,21,778
nug12,TABU,608,1,17,21,852
nug12,TABU,608,1,17,21,714
nug12,TABU,600,1,17,21,850
nug12,TABU,586,2,24,31,848
nug12,TABU,592,0,14,18,858
nug12,TABU,600,1,17,21,730
nug12,TABU,590,1,18,22,776
nug12,TABU,596,1,16,20,848
nug12,TABU,602,1,15,18,796
nug12,TABU,594,1,15,20,842
nug12,TABU,604,1,18,22,860
nug12,TABU,600,0,15,18,762
nug12,TABU,586,1,20,24,770
tai15b,ANNEALING,52022719,31,10592,15842,423074316
tai15b,ANNEALING,52047159,31,10207,15761,415184488
tai15b,ANNEALING,51765268,30,9912,14863,403006831
tai15b,ANNEALING,52059549,34,10664,15637,347581543
tai15b,ANNEALING,51765268,34,10362,16734,422953794
tai15b,ANNEALING,52008224,31,11471,15478,276537541
tai15b,ANNEALING,52135282,32,10631,16384,616287282
tai15b,ANNEALING,52072728,34,9710,15542,615685296
tai15b,ANNEALING,51940911,28,10363,15150,234249733
tai15b,ANNEALING,51765268,30,10816,14584,445806466
tai15b,ANNEALING,52008224,32,9961,15787,432049862
tai15b,ANNEALING,52270476,38,12071,18351,702288657
tai15b,ANNEALING,52035184,32,9902,15463,233880541
tai15b,ANNEALING,51946312,32,9543,16498,278146761
tai15b,ANNEALING,51948832,41,10268,16229,615334288
tai15b,ANNEALING,51838891,31,10398,16202,431545293
tai15b,ANNEALING,52085186,30,9741,16258,278220824
tai15b,ANNEALING,51992854,32,10385,16570,431643095
tai15b,ANNEALING,51918440,33,14523,16463,278518164
tai15b,ANNEALING,52045643,30,10883,15675,54340332
tai15b,ANNEALING,51765268,27,10188,14421,401595281
tai15b,ANNEALING,52033331,35,11225,14314,278192059
tai15b,ANNEALING,51941392,39,10466,15596,615483726
tai15b,ANNEALING,51953351,32,11900,15783,347817444
tai15b,ANNEALING,51960168,15,10523,14823,234877746
tai15b,ANNEALING,51881760,14,10205,14151,495438002
tai15b,ANNEALING,51765268,23,10434,13807,278213377
tai15b,ANNEALING,52204773,19,10793,15895,445424114
tai15b,ANNEALING,52093967,25,10452,15337,423582216
tai15b,ANNEALING,52069804,25,10687,15917,615342089
tai15b,TABU,51875006,3,22,27,616240089
tai15b,TABU,52014546,3,23,27,53212260
tai15b,TABU,51904981,3,24,27,415879999
tai15b,TABU,52053443,4,25,31,233744576
tai15b,TABU,51984034,3,18,21,297474280
tai15b,TABU,51838283,5,30,35,278604054
tai15b,TABU,52059549,3,19,23,277996211
tai15b,TABU,52067671,3,19,23,445480472
tai15b,TABU,52015831,3,22,26,348162462
tai15b,TABU,52147272,3,20,24,702499386
tai15b,TABU,51917122,3,20,24,431683683
tai15b,TABU,51944702,3,21,25,615546361
tai15b,TABU,51765268,4,29,33,415915870
tai15b,TABU,51932236,3,22,26,297075771
tai15b,TABU,51994225,3,20,24,615529545
tai15b,TABU,52033737,2,17,21,614958069
tai15b,TABU,52054784,3,19,23,446333105
tai15b,TABU,52291745,4,25,29,234142891
tai15b,TABU,52076949,5,18,21,614695953
tai15b,TABU,52045643,3,20,24,54063163
tai15b,TABU,51838283,4,30,37,615378169
tai15b,TABU,52098470,2,18,22,348041195
tai15b,TABU,52107799,4,26,30,701750133
tai15b,TABU,52002757,3,21,24,615510196
tai15b,TABU,52115139,3,21,25,615820458
tai15b,TABU,51991852,3,19,23,276104698
tai15b,TABU,51975774,3,22,26,615943616
tai15b,TABU,52004367,2,18,21,616322970
tai15b,TABU,52192194,3,21,26,52923711
tai15b,TABU,51994225,2,22,26,446293909
bur26f,ANNEALING,4015579,44,15523,15800,4107121
bur26f,ANNEALING,4052071,57,15032,20352,4037468
bur26f,ANNEALING,4281520,75,21524,26512,4281520
bur26f,ANNEALING,4047637,77,15469,27403,4303455
bur26f,ANNEALING,3961649,70,15178,25208,4276386
bur26f,ANNEALING,4277072,84,22013,27370,4239996
bur26f,ANNEALING,4073126,83,20242,29597,4214871
bur26f,ANNEALING,4179331,95,17593,29680,4285468
bur26f,ANNEALING,4162706,10,3447,3448,4125518
bur26f,ANNEALING,4113003,56,18934,19953,4266449
bur26f,ANNEALING,4022993,89,19414,30482,4292748
bur26f,ANNEALING,3978380,106,15636,38044,4226238
bur26f,ANNEALING,4183995,112,20259,39360,4134831
bur26f,ANNEALING,3874171,106,16002,37865,4092456
bur26f,ANNEALING,3983335,101,20835,36984,4172070
bur26f,ANNEALING,3956355,118,18001,41913,4185570
bur26f,ANNEALING,4105803,51,17648,18815,4166756
bur26f,ANNEALING,3961949,66,23405,24528,4160757
bur26f,ANNEALING,4097796,48,15169,15714,4222701
bur26f,ANNEALING,4062426,80,15626,29629,4275066
bur26f,ANNEALING,3934239,66,17724,24038,4276157
bur26f,ANNEALING,3953311,79,20591,29191,4217470
bur26f,ANNEALING,3907675,94,18304,33193,4172395
bur26f,ANNEALING,3918405,86,14946,30300,4230672
bur26f,ANNEALING,3978493,36,17806,23687,4244481
bur26f,ANNEALING,3898373,63,17293,34931,4014802
bur26f,ANNEALING,4022755,38,16397,24346,4159226
bur26f,ANNEALING,3882473,62,18796,41093,4182720
