instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,TABU,586,1,16,21,872
nug12,TABU,592,1,17,22,698
nug12,TABU,608,1,17,21,780
nug12,TABU,594,1,18,22,920
nug12,TABU,610,1,19,23,812
nug12,TABU,586,1,20,24,852
nug12,TABU,586,2,26,31,836
nug12,TABU,610,1,13,17,768
nug12,TABU,600,1,17,21,792
nug12,TABU,612,1,16,20,928
nug12,TABU,608,1,16,20,812
nug12,TABU,586,1,21,28,832
nug12,TABU,590,1,20,24,872
nug12,TABU,586,1,13,18,728
nug12,TABU,614,1,16,20,784
nug12,TABU,602,1,18,22,782
nug12,TABU,598,1,20,24,848
nug12,TABU,586,1,20,24,780
nug12,TABU,606,1,17,20,796
nug12,TABU,594,2,17,21,816
nug12,TABU,594,1,17,21,848
nug12,TABU,586,1,21,25,888
nug12,TABU,600,1,16,20,786
nug12,TABU,600,1,21,24,748
nug12,TABU,594,1,18,23,842
nug12,TABU,596,1,17,21,842
nug12,TABU,604,1,15,18,818
nug12,TABU,578,1,19,23,902
nug12,TABU,602,1,25,33,746
nug12,TABU,618,6,22,29,852
tai15b,TABU,51954784,3,18,22,276514782
tai15b,TABU,51956292,3,20,25,401544773
tai15b,TABU,51933378,3,21,24,53561161
tai15b,TABU,51868251,3,22,26,615697160
tai15b,TABU,51971400,3,22,26,415715627
tai15b,TABU,52135282,4,24,27,422864819
tai15b,TABU,51838891,3,19,23,414679238
tai15b,TABU,51838283,3,22,27,496244921
tai15b,TABU,52063010,3,18,21,401632480
tai15b,TABU,51961880,4,21,25,422469830
tai15b,TABU,51838283,4,26,31,446532927
tai15b,TABU,52069210,3,20,24,431752363
tai15b,TABU,51954367,3,20,24,615484015
tai15b,TABU,51866297,2,18,21,233694412
tai15b,TABU,52151164,3,23,27,276993166
tai15b,TABU,51765268,3,24,28,278880182
tai15b,TABU,52121418,3,22,26,423081631
tai15b,TABU,52141315,4,24,33,423066914
tai15b,TABU,51916044,2,17,21,615219163
tai15b,TABU,51919669,3,21,24,234306031
tai15b,TABU,51929112,3,20,24,615872291
tai15b,TABU,51952389,4,26,30,702309583
tai15b,TABU,51967125,3,23,27,702170476
tai15b,TABU,51765268,3,22,26,416240994
tai15b,TABU,51916044,5,19,23,422147296
tai15b,TABU,52009137,3,21,24,53307059
tai15b,TABU,52111154,2,18,22,615561528
tai15b,TABU,51875006,3,22,26,54130053
tai15b,TABU,51960800,3,22,26,495769486
tai15b,TABU,51938237,2,22,26,234117633
bur26f,TABU,3805374,16,28,34,4221785
bur26f,TABU,3782827,25,30,36,4335131
bur26f,TABU,3802645,26,29,36,4110055
bur26f,TABU,3783123,27,29,36,4284928
bur26f,TABU,3794893,27,30,36,4221844
bur26f,TABU,3782932,29,32,38,4198082
bur26f,TABU,3796082,35,42,49,4305396
bur26f,TABU,3782794,40,31,38,4409313
bur26f,TABU,3796865,25,31,38,4215780
bur26f,TABU,3782044,21,26,32,4297552
bur26f,TABU,3800438,24,27,34,4174050
bur26f,TABU,3803852,20,28,34,4214276
bur26f,TABU,3800223,25,28,34,4122214
bur26f,TABU,3782760,29,30,36,4301800
bur26f,TABU,3787449,22,27,33,4119774
bur26f,TABU,3816429,24,29,36,4190717
bur26f,TABU,3803189,25,29,36,4375068
bur26f,TABU,3783148,24,30,36,4304653
bur26f,TABU,3796941,29,32,38,4268328
bur26f,TABU,3803461,30,32,38,4151495
bur26f,TABU,3782068,34,29,36,4176059
bur26f,TABU,3782713,40,36,42,4337225
bur26f,TABU,3818880,27,33,40,4213260
bur26f,TABU,3796796,22,27,34,4332721
bur26f,TABU,3796139,19,29,36,4319713
bur26f,TABU,3782051,22,27,34,4235838
bur26f,TABU,3782245,20,31,38,4227146
bur26f,TABU,3796941,28,32,38,4216699
bur26f,TABU,3782695,20,32,38,4254366
bur26f,TABU,3782690,33,38,47,4183048
esc32b,TABU,228,35,23,30,420
