instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,TABU,630,1,14,924,770
nug12,TABU,624,1,16,1056,854
nug12,TABU,620,1,17,1122,784
nug12,TABU,602,1,20,1320,842
nug12,TABU,590,1,17,1122,860
nug12,TABU,586,2,24,1584,794
nug12,TABU,606,1,16,1056,796
nug12,TABU,594,1,19,1254,794
nug12,TABU,598,1,18,1188,728
nug12,TABU,610,1,18,1188,870
nug12,TABU,620,1,19,1254,800
nug12,TABU,590,1,15,990,796
nug12,TABU,596,1,19,1254,822
nug12,TABU,602,1,15,990,806
nug12,TABU,620,1,15,990,888
nug12,TABU,594,1,20,1320,824
nug12,TABU,620,1,15,990,746
nug12,TABU,618,1,19,1254,878
nug12,TABU,624,1,15,990,814
nug12,TABU,600,1,16,1056,872
nug12,TABU,586,1,21,1386,826
nug12,TABU,604,1,20,1320,820
nug12,TABU,604,1,18,1188,826
nug12,TABU,586,1,19,1254,792
nug12,TABU,610,3,15,990,712
nug12,TABU,600,1,17,1122,816
nug12,TABU,596,1,16,1056,746
nug12,TABU,592,1,17,1122,798
nug12,TABU,586,2,24,1584,836
nug12,TABU,600,1,23,1518,838
tai15b,TABU,52119283,2,19,1995,615413137
tai15b,TABU,51951770,2,18,1890,348250239
tai15b,TABU,52002316,2,25,2625,615596861
tai15b,TABU,51900856,3,19,1995,615993733
tai15b,TABU,51946312,3,22,2310,297758361
tai15b,TABU,51929112,3,22,2310,422253764
tai15b,TABU,51991357,3,21,2205,416021369
tai15b,TABU,51973396,3,22,2310,423254969
tai15b,TABU,52174809,3,19,1995,275791015
tai15b,TABU,51991357,3,20,2100,615534060
tai15b,TABU,51937113,3,21,2205,616190558
tai15b,TABU,51952389,4,25,2625,431812908
tai15b,TABU,51908277,2,16,1680,276532779
tai15b,TABU,52032861,2,17,1785,416239193
tai15b,TABU,52172763,3,19,1995,495508736
tai15b,TABU,52006138,3,20,2100,234067788
tai15b,TABU,52175956,3,18,1890,347987918
tai15b,TABU,52197293,3,20,2100,276638229
tai15b,TABU,51916044,3,22,2310,615120509
tai15b,TABU,51952389,3,21,2205,347750777
tai15b,TABU,52260660,2,18,1890,278106395
tai15b,TABU,52072728,3,21,2205,615578184
tai15b,TABU,52175956,3,21,2205,423012895
tai15b,TABU,52035568,3,19,1995,616102266
tai15b,TABU,52156345,3,19,1995,431491055
tai15b,TABU,52143773,3,20,2100,446257191
tai15b,TABU,51881760,3,21,2205,446457105
tai15b,TABU,52139959,3,20,2100,234930807
tai15b,TABU,52026911,2,18,1890,614931660
tai15b,TABU,51987769,3,22,2310,702206694
bur26f,TABU,3813190,22,28,9100,4168932
bur26f,TABU,3803852,24,29,9425,4084116
bur26f,TABU,3797237,24,24,7800,4239144
bur26f,TABU,3834264,27,33,10725,4244123
bur26f,TABU,3782747,32,37,12025,4285815
bur26f,TABU,3796089,32,40,13000,4240148
bur26f,TABU,3782838,33,33,10725,4221452
bur26f,TABU,3796082,35,36,11700,4190047
bur26f,TABU,3819878,24,27,8775,4258454
bur26f,TABU,3795315,26,31,10075,4129025
bur26f,TABU,3782805,22,28,9100,4141512
bur26f,TABU,3783551,33,34,11050,4174317
bur26f,TABU,3783012,25,28,9100,4063412
bur26f,TABU,3795037,28,32,10400,4166858
bur26f,TABU,3782890,27,28,9100,4272806
bur26f,TABU,3796821,25,31,10075,4285490
bur26f,TABU,3798855,27,32,10400,4144713
bur26f,TABU,3782503,26,32,10400,4252664
bur26f,TABU,3808038,24,30,9750,4282466
bur26f,TABU,3784018,22,27,8775,4118470
