instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,RANDOM,754,1,-1,4,-1
nug12,RANDOM,740,1,-1,5,-1
nug12,RANDOM,758,1,-1,4,-1
nug12,RANDOM,742,1,-1,6,-1
nug12,RANDOM,760,1,-1,8,-1
nug12,RANDOM,730,1,-1,15,-1
nug12,RANDOM,734,2,-1,3,-1
nug12,RANDOM,716,1,-1,10,-1
nug12,RANDOM,732,1,-1,10,-1
nug12,RANDOM,720,1,-1,13,-1
nug12,RANDOM,754,1,-1,10,-1
nug12,RANDOM,666,1,-1,203,-1
nug12,RANDOM,734,3,-1,17,-1
nug12,RANDOM,720,3,-1,5,-1
nug12,RANDOM,838,2,-1,0,-1
nug12,RANDOM,754,3,-1,3,-1
nug12,RANDOM,714,2,-1,3,-1
nug12,RANDOM,728,4,-1,16,-1
nug12,RANDOM,660,1,-1,71,-1
nug12,RANDOM,702,1,-1,61,-1
nug12,RANDOM,708,8,-1,12,-1
nug12,RANDOMWALK,794,1,-1,10,-1
nug12,RANDOMWALK,786,1,-1,20,-1
nug12,RANDOMWALK,716,1,-1,13,-1
nug12,RANDOMWALK,704,1,-1,9,-1
nug12,RANDOMWALK,674,1,-1,11,-1
nug12,RANDOMWALK,762,1,-1,11,-1
nug12,RANDOMWALK,716,2,-1,12,-1
nug12,RANDOMWALK,780,2,-1,13,-1
nug12,RANDOMWALK,734,1,-1,12,-1
nug12,RANDOMWALK,742,2,-1,15,-1
nug12,RANDOMWALK,750,1,-1,15,-1
nug12,RANDOMWALK,694,1,-1,12,-1
nug12,RANDOMWALK,740,1,-1,15,-1
nug12,RANDOMWALK,762,1,-1,19,-1
nug12,RANDOMWALK,712,2,-1,9,-1
nug12,RANDOMWALK,830,2,-1,10,-1
nug12,RANDOMWALK,686,1,-1,30,-1
nug12,RANDOMWALK,750,1,-1,13,-1
nug12,RANDOMWALK,756,1,-1,21,-1
nug12,RANDOMWALK,756,1,-1,16,-1
nug12,RANDOMWALK,730,2,-1,33,-1
tai15b,RANDOM,54051835,1,-1,15,-1
tai15b,RANDOM,348823709,1,-1,7,-1
tai15b,RANDOM,53219192,1,-1,14,-1
tai15b,RANDOM,53615510,2,-1,9,-1
tai15b,RANDOM,54102381,2,-1,8,-1
tai15b,RANDOM,53426171,1,-1,10,-1
tai15b,RANDOM,234478004,2,-1,11,-1
tai15b,RANDOM,234208102,2,-1,9,-1
tai15b,RANDOM,234379988,1,-1,7,-1
tai15b,RANDOM,53824515,2,-1,27,-1
tai15b,RANDOM,234234886,1,-1,9,-1
tai15b,RANDOM,53810734,1,-1,20,-1
tai15b,RANDOM,276401508,1,-1,8,-1
tai15b,RANDOM,53304411,1,-1,12,-1
tai15b,RANDOM,275342134,1,-1,10,-1
tai15b,RANDOM,347177681,1,-1,5,-1
tai15b,RANDOM,54161363,1,-1,34,-1
tai15b,RANDOM,234027054,1,-1,15,-1
tai15b,RANDOM,234919827,1,-1,19,-1
tai15b,RANDOM,234292090,1,-1,18,-1
tai15b,RANDOM,53861927,1,-1,10,-1
tai15b,RANDOMWALK,53975891,1,-1,18,-1
tai15b,RANDOMWALK,297158734,1,-1,10,-1
tai15b,RANDOMWALK,276014496,1,-1,10,-1
tai15b,RANDOMWALK,53185716,2,-1,14,-1
tai15b,RANDOMWALK,275871430,2,-1,11,-1
tai15b,RANDOMWALK,297273517,2,-1,11,-1
tai15b,RANDOMWALK,347613463,2,-1,23,-1
tai15b,RANDOMWALK,432164611,2,-1,10,-1
tai15b,RANDOMWALK,233699765,1,-1,9,-1
tai15b,RANDOMWALK,297761780,1,-1,7,-1
tai15b,RANDOMWALK,234422591,1,-1,7,-1
tai15b,RANDOMWALK,297238622,1,-1,8,-1
tai15b,RANDOMWALK,233662950,1,-1,12,-1
tai15b,RANDOMWALK,422325491,1,-1,12,-1
tai15b,RANDOMWALK,346969880,1,-1,13,-1
tai15b,RANDOMWALK,275279557,2,-1,19,-1
tai15b,RANDOMWALK,234141775,1,-1,21,-1
tai15b,RANDOMWALK,277637434,1,-1,9,-1
tai15b,RANDOMWALK,233984361,1,-1,18,-1
tai15b,RANDOMWALK,53693693,1,-1,30,-1
tai15b,RANDOMWALK,495347793,1,-1,17,-1
bur26f,RANDOM,4032751,10,-1,93,-1
bur26f,RANDOM,3986191,10,-1,99,-1
bur26f,RANDOM,4020175,10,-1,74,-1
bur26f,RANDOM,4009691,10,-1,55,-1
bur26f,RANDOM,4027685,10,-1,93,-1
bur26f,RANDOM,4008880,10,-1,81,-1
bur26f,RANDOM,4019400,10,-1,83,-1
bur26f,RANDOM,3965536,11,-1,83,-1
bur26f,RANDOM,4018772,10,-1,98,-1
bur26f,RANDOM,4029786,10,-1,88,-1
bur26f,RANDOM,4019858,10,-1,68,-1
bur26f,RANDOM,3972296,10,-1,82,-1
bur26f,RANDOM,3984246,10,-1,88,-1
bur26f,RANDOM,4011009,11,-1,91,-1
bur26f,RANDOM,4041150,10,-1,76,-1
bur26f,RANDOM,3927077,11,-1,92,-1
bur26f,RANDOM,3975050,10,-1,141,-1
bur26f,RANDOM,4028693,10,-1,109,-1
bur26f,RANDOM,4006290,10,-1,142,-1
bur26f,RANDOM,4059634,10,-1,127,-1
bur26f,RANDOM,3987873,10,-1,111,-1
bur26f,RANDOMWALK,4087966,10,-1,122,-1
bur26f,RANDOMWALK,4065929,10,-1,69,-1
bur26f,RANDOMWALK,4106108,10,-1,82,-1
bur26f,RANDOMWALK,3968493,10,-1,99,-1
bur26f,RANDOMWALK,4121137,10,-1,70,-1
bur26f,RANDOMWALK,4141806,10,-1,59,-1
bur26f,RANDOMWALK,4052041,10,-1,62,-1
bur26f,RANDOMWALK,4034711,10,-1,89,-1
bur26f,RANDOMWALK,4022923,10,-1,84,-1
bur26f,RANDOMWALK,4045186,10,-1,76,-1
bur26f,RANDOMWALK,4047787,10,-1,83,-1
bur26f,RANDOMWALK,3989299,10,-1,80,-1
bur26f,RANDOMWALK,3933045,11,-1,82,-1
bur26f,RANDOMWALK,4019486,10,-1,90,-1
bur26f,RANDOMWALK,4040789,11,-1,82,-1
bur26f,RANDOMWALK,4072803,11,-1,93,-1
bur26f,RANDOMWALK,4042497,10,-1,128,-1
bur26f,RANDOMWALK,4001501,10,-1,129,-1
bur26f,RANDOMWALK,4048245,10,-1,149,-1
bur26f,RANDOMWALK,4046467,10,-1,124,-1
bur26f,RANDOMWALK,4001994,10,-1,123,-1
esc32b,RANDOM,380,10,-1,73,-1
esc32b,RANDOM,392,10,-1,77,-1
esc32b,RANDOM,412,10,-1,87,-1
esc32b,RANDOM,384,10,-1,85,-1
esc32b,RANDOM,396,10,-1,71,-1
esc32b,RANDOM,404,10,-1,70,-1
esc32b,RANDOM,372,10,-1,87,-1
esc32b,RANDOM,360,11,-1,55,-1
esc32b,RANDOM,368,10,-1,86,-1
esc32b,RANDOM,396,10,-1,76,-1
esc32b,RANDOM,372,10,-1,100,-1
esc32b,RANDOM,400,10,-1,75,-1
esc32b,RANDOM,396,10,-1,72,-1
esc32b,RANDOM,404,10,-1,73,-1
esc32b,RANDOM,392,10,-1,75,-1
esc32b,RANDOM,396,10,-1,54,-1
esc32b,RANDOM,384,10,-1,96,-1
esc32b,RANDOM,372,10,-1,193,-1
esc32b,RANDOM,404,10,-1,90,-1
esc32b,RANDOM,404,10,-1,79,-1
esc32b,RANDOM,376,10,-1,104,-1
esc32b,RANDOMWALK,400,10,-1,79,-1
esc32b,RANDOMWALK,404,10,-1,82,-1
esc32b,RANDOMWALK,392,10,-1,71,-1
esc32b,RANDOMWALK,392,10,-1,73,-1
esc32b,RANDOMWALK,400,11,-1,87,-1
esc32b,RANDOMWALK,392,11,-1,98,-1
esc32b,RANDOMWALK,440,11,-1,84,-1
esc32b,RANDOMWALK,392,10,-1,81,-1
esc32b,RANDOMWALK,416,10,-1,67,-1
esc32b,RANDOMWALK,404,10,-1,79,-1
esc32b,RANDOMWALK,416,10,-1,94,-1
esc32b,RANDOMWALK,420,10,-1,94,-1
esc32b,RANDOMWALK,392,10,-1,63,-1
esc32b,RANDOMWALK,412,10,-1,85,-1
esc32b,RANDOMWALK,396,11,-1,108,-1
esc32b,RANDOMWALK,412,12,-1,75,-1
esc32b,RANDOMWALK,384,10,-1,90,-1
esc32b,RANDOMWALK,404,10,-1,81,-1
esc32b,RANDOMWALK,388,10,-1,96,-1
esc32b,RANDOMWALK,408,10,-1,112,-1
esc32b,RANDOMWALK,384,10,-1,261,-1
tho40,RANDOM,316390,80,-1,620,-1
tho40,RANDOM,307532,81,-1,636,-1
tho40,RANDOM,308492,81,-1,644,-1
tho40,RANDOM,315108,81,-1,635,-1
tho40,RANDOM,314558,81,-1,609,-1
tho40,RANDOM,310834,81,-1,581,-1
tho40,RANDOM,318586,81,-1,618,-1
tho40,RANDOM,311358,81,-1,589,-1
tho40,RANDOM,312466,80,-1,624,-1
tho40,RANDOM,313566,80,-1,608,-1
tho40,RANDOM,309858,80,-1,609,-1
tho40,RANDOM,305814,81,-1,592,-1
tho40,RANDOM,317658,80,-1,636,-1
tho40,RANDOM,308524,80,-1,622,-1
tho40,RANDOM,314662,80,-1,642,-1
tho40,RANDOM,312274,81,-1,634,-1
tho40,RANDOM,311044,80,-1,1037,-1
tho40,RANDOM,313532,80,-1,972,-1
tho40,RANDOM,311690,80,-1,981,-1
tho40,RANDOM,314816,80,-1,1041,-1
tho40,RANDOM,309778,80,-1,1021,-1
tho40,RANDOMWALK,311554,80,-1,625,-1
tho40,RANDOMWALK,305288,80,-1,668,-1
tho40,RANDOMWALK,319346,80,-1,654,-1
tho40,RANDOMWALK,315160,80,-1,695,-1
tho40,RANDOMWALK,307340,80,-1,642,-1
tho40,RANDOMWALK,311606,80,-1,579,-1
tho40,RANDOMWALK,311186,80,-1,585,-1
