instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,ANNEALING,852,1,944,945,900
nug12,ANNEALING,808,1,660,660,808
nug12,ANNEALING,726,5,3429,3765,784
nug12,ANNEALING,858,3,2314,2343,842
nug12,ANNEALING,732,9,3617,5006,762
nug12,ANNEALING,806,11,3703,4733,762
nug12,ANNEALING,760,6,3220,4023,776
nug12,ANNEALING,734,6,3762,4147,864
nug12,ANNEALING,770,4,3614,4652,904
nug12,ANNEALING,760,8,4383,5498,708
nug12,ANNEALING,746,7,3212,4971,764
nug12,ANNEALING,806,8,4203,5324,846
nug12,ANNEALING,744,5,3893,5670,748
nug12,ANNEALING,758,5,3633,5978,918
nug12,ANNEALING,906,4,3577,4292,918
nug12,TABU,592,1,15,19,874
nug12,TABU,618,1,20,25,742
nug12,TABU,596,1,19,23,834
nug12,TABU,586,1,19,23,880
nug12,TABU,604,1,19,23,774
nug12,TABU,630,2,22,28,852
nug12,TABU,600,2,16,20,682
nug12,TABU,598,1,16,20,808
nug12,TABU,622,1,15,18,924
nug12,TABU,592,1,18,21,764
nug12,TABU,586,1,20,24,910
nug12,TABU,600,1,17,21,706
nug12,TABU,590,1,19,23,842
nug12,TABU,604,1,18,21,914
nug12,TABU,604,1,16,20,876
tai15b,ANNEALING,52093967,27,11043,15745,615435926
tai15b,ANNEALING,51932236,28,10562,16058,701823316
tai15b,ANNEALING,51950669,37,10188,15210,615583591
tai15b,ANNEALING,51961211,26,10254,13873,495791785
tai15b,ANNEALING,52015880,39,10505,15096,278235015
tai15b,ANNEALING,51958342,28,11240,15659,54026405
tai15b,ANNEALING,51908277,61,10486,15859,279084461
tai15b,ANNEALING,51765268,42,10126,14783,615279798
tai15b,ANNEALING,52107328,18,10379,14162,416152772
tai15b,ANNEALING,52103022,33,10277,17828,431028714
tai15b,ANNEALING,52076949,31,10165,17581,296779816
tai15b,ANNEALING,51765268,28,11147,15342,495663440
tai15b,ANNEALING,51919669,18,12332,16413,278697377
tai15b,ANNEALING,51875006,19,10434,16707,297796965
tai15b,ANNEALING,52213812,15,11830,14398,276360886
tai15b,TABU,52019946,2,25,29,615439310
tai15b,TABU,51994492,3,19,23,233431263
tai15b,TABU,51934419,3,21,26,53671424
tai15b,TABU,52243162,3,21,25,347953768
tai15b,TABU,52097584,3,22,26,347955026
tai15b,TABU,52180210,3,19,23,276989578
tai15b,TABU,52141315,3,19,25,422744199
tai15b,TABU,52053999,3,21,25,496827979
tai15b,TABU,51875006,3,21,25,401403368
tai15b,TABU,51969367,3,24,29,415401409
tai15b,TABU,52141158,3,21,26,423317774
tai15b,TABU,52078827,4,25,31,415782920
tai15b,TABU,51838283,5,33,38,53498784
tai15b,TABU,52092267,2,19,23,277835780
tai15b,TABU,51866297,2,21,25,445803179
bur26f,ANNEALING,4076953,65,16813,22174,4168485
bur26f,ANNEALING,4008865,81,16859,26545,4133752
bur26f,ANNEALING,4024205,80,16047,24251,4156030
bur26f,ANNEALING,3987722,87,15866,29520,4141575
bur26f,ANNEALING,3983232,79,22977,28613,4224050
bur26f,ANNEALING,3998602,153,17725,42896,4121626
bur26f,ANNEALING,4057840,128,20651,30391,4253269
bur26f,ANNEALING,4057450,103,17031,29563,4235470
bur26f,ANNEALING,4103921,71,21396,26561,4181318
bur26f,ANNEALING,4041396,64,18599,20361,4228198
bur26f,ANNEALING,4092547,53,18329,18483,4316816
bur26f,ANNEALING,4007849,64,17352,24837,4187774
bur26f,ANNEALING,4150101,58,16301,21702,4150101
bur26f,ANNEALING,3980510,43,16434,24050,4369923
bur26f,ANNEALING,3964842,38,20467,22189,4128975
bur26f,TABU,3795445,22,28,34,4162939
bur26f,TABU,3804495,25,31,38,4431379
bur26f,TABU,3782827,30,34,40,4306578
bur26f,TABU,3782923,31,37,44,4215410
bur26f,TABU,3783132,27,33,40,4088917
bur26f,TABU,3818557,42,31,38,4285512
bur26f,TABU,3792591,43,34,40,4292182
bur26f,TABU,3797702,38,31,38,4025407
bur26f,TABU,3797219,28,34,40,4308970
bur26f,TABU,3851309,24,30,36,4214126
bur26f,TABU,3796919,25,28,34,4317117
bur26f,TABU,3797438,38,27,34,4173940
bur26f,TABU,3799570,18,26,32,4312873
bur26f,TABU,3782245,21,29,36,4332866
bur26f,TABU,3783457,23,34,40,4435233
esc32b,ANNEALING,460,16,4960,4960,460
esc32b,ANNEALING,432,16,4960,4960,432
esc32b,ANNEALING,452,31,8975,9002,448
esc32b,ANNEALING,428,17,4960,4960,428
esc32b,ANNEALING,472,30,4960,4960,472
esc32b,ANNEALING,492,17,5100,5101,480
esc32b,ANNEALING,492,120,27620,35205,488
esc32b,ANNEALING,432,122,24358,36182,448
esc32b,ANNEALING,460,9,5047,5048,444
esc32b,ANNEALING,428,16,5013,5014,440
esc32b,ANNEALING,464,22,9642,9662,444
esc32b,ANNEALING,496,23,13008,13054,472
esc32b,ANNEALING,448,9,5195,5196,460
esc32b,ANNEALING,436,67,24466,38601,456
esc32b,ANNEALING,460,94,27037,37861,480
esc32b,TABU,216,34,23,31,420
esc32b,TABU,244,35,23,30,428
esc32b,TABU,188,39,26,33,416
esc32b,TABU,220,36,24,30,440
esc32b,TABU,204,40,27,33,436
esc32b,TABU,200,46,30,35,480
esc32b,TABU,220,50,31,41,460
esc32b,TABU,196,38,25,32,460
esc32b,TABU,212,76,28,34,448
esc32b,TABU,196,44,29,36,464
esc32b,TABU,228,38,26,32,460
esc32b,TABU,224,43,28,34,496
esc32b,TABU,200,37,28,33,432
esc32b,TABU,192,33,27,32,456
esc32b,TABU,192,45,31,39,456
tho40,ANNEALING,317378,236,33293,59023,348004
tho40,ANNEALING,269662,265,36464,64970,335280
tho40,ANNEALING,263736,283,36741,69973,346528
tho40,ANNEALING,298798,285,38269,71078,346500
tho40,ANNEALING,257856,311,33942,77817,336734
tho40,ANNEALING,250446,326,39384,80238,345232
tho40,ANNEALING,256628,359,38735,88664,336476
tho40,ANNEALING,252914,355,40469,87718,342080
tho40,ANNEALING,253152,214,34751,90915,338818
tho40,ANNEALING,249614,309,38464,96534,352620
tho40,ANNEALING,247666,241,38595,82200,360866
tho40,ANNEALING,250046,306,35568,80955,338762
tho40,ANNEALING,247262,334,46309,84410,346454
tho40,ANNEALING,250114,335,36638,91775,338886
tho40,ANNEALING,247718,312,34245,92145,336300
tho40,TABU,247568,143,49,61,353150
tho40,TABU,247068,143,49,61,332178
tho40,TABU,246756,144,47,63,340746
tho40,TABU,246144,154,53,70,339498
tho40,TABU,249722,175,56,70,345150
tho40,TABU,251704,194,59,79,340708
tho40,TABU,245414,205,70,88,337436
tho40,TABU,253480,219,72,108,347926
tho40,TABU,246330,135,46,60,346324
tho40,TABU,252588,90,47,65,333596
tho40,TABU,250132,133,44,53,333972
tho40,TABU,245216,177,61,79,347716
tho40,TABU,251112,183,65,84,331270
tho40,TABU,244986,202,93,135,366328
tho40,TABU,248440,152,67,91,337896
tai64c,ANNEALING,2911264,125,20160,20160,2911264
tai64c,ANNEALING,2798790,126,20160,20160,2798790
tai64c,ANNEALING,2862720,122,20160,20160,2862720
tai64c,ANNEALING,3027760,125,20160,20160,3027760
tai64c,ANNEALING,3303970,133,20160,20160,3303970
tai64c,ANNEALING,3357086,126,20160,20160,3357086
tai64c,ANNEALING,2931660,889,107147,142603,3009330
tai64c,ANNEALING,2744520,127,20160,20160,2744520
tai64c,ANNEALING,2761162,127,20160,20160,2761162
tai64c,ANNEALING,3114562,127,20160,20160,3114562
tai64c,ANNEALING,3296096,1022,137323,170717,3310452
tai64c,ANNEALING,3484942,110,20160,20160,3484942
tai64c,ANNEALING,2799674,475,97054,130966,2799674
tai64c,ANNEALING,2785922,539,107868,142359,2856954
tai64c,ANNEALING,3164360,64,20160,20160,3164360
tai64c,TABU,1867264,182,15,22,2591218
tai64c,TABU,1860942,191,16,24,3308952
tai64c,TABU,1866152,192,16,22,2807330
tai64c,TABU,1857646,202,17,23,2581358
tai64c,TABU,1858710,215,18,25,3003386
tai64c,TABU,1864686,256,21,27,3054264
tai64c,TABU,1857646,268,20,26,4412664
tai64c,TABU,1864686,294,23,29,3113056
tai64c,TABU,1857646,116,16,22,2623994
tai64c,TABU,1864686,215,18,23,2749750
tai64c,TABU,1863794,226,19,25,3361634
