instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
nug12,ANNEALING,586,12,3638,6944,892
nug12,ANNEALING,624,13,3607,6336,804
nug12,ANNEALING,594,12,3543,6438,828
nug12,ANNEALING,600,12,3591,5715,816
nug12,ANNEALING,600,13,3616,7120,816
nug12,ANNEALING,586,15,3568,6112,824
nug12,ANNEALING,594,18,3579,6447,794
nug12,ANNEALING,592,10,3483,5592,772
nug12,ANNEALING,586,11,3464,6074,832
nug12,ANNEALING,592,11,3485,5798,790
nug12,ANNEALING,598,12,3541,6801,856
nug12,ANNEALING,602,12,3591,6781,862
nug12,ANNEALING,588,11,3549,5714,774
nug12,ANNEALING,604,13,3563,6964,810
nug12,ANNEALING,602,18,3518,6238,804
nug12,ANNEALING,592,12,3569,6610,878
nug12,ANNEALING,592,11,3588,5851,724
nug12,ANNEALING,594,11,3585,6299,804
nug12,ANNEALING,590,11,3492,5884,788
nug12,ANNEALING,596,12,3545,6507,940
nug12,ANNEALING,594,11,3525,6115,842
nug12,ANNEALING,586,13,3555,6527,808
nug12,ANNEALING,600,11,3509,6231,750
nug12,ANNEALING,592,13,3536,5926,808
nug12,ANNEALING,586,12,3548,6455,734
nug12,ANNEALING,582,11,3493,6204,808
nug12,ANNEALING,592,10,3444,5572,862
nug12,ANNEALING,594,12,3608,6595,842
nug12,ANNEALING,600,13,3579,6845,786
nug12,ANNEALING,596,11,3518,6007,778
nug12,TABU,602,1,16,20,822
nug12,TABU,600,1,17,21,876
nug12,TABU,586,1,19,23,786
nug12,TABU,586,2,18,22,860
nug12,TABU,610,1,15,18,820
nug12,TABU,586,2,27,30,834
nug12,TABU,582,3,27,34,742
nug12,TABU,586,1,17,21,762
nug12,TABU,588,1,17,21,824
nug12,TABU,586,3,21,27,800
nug12,TABU,620,1,16,20,822
nug12,TABU,592,2,24,30,802
nug12,TABU,624,1,16,20,840
nug12,TABU,604,2,14,16,720
nug12,TABU,602,2,28,35,884
nug12,TABU,592,2,26,32,828
nug12,TABU,596,2,24,29,820
nug12,TABU,586,1,16,20,788
nug12,TABU,600,2,22,28,814
nug12,TABU,600,2,20,24,832
nug12,TABU,592,4,27,34,830
nug12,TABU,586,1,18,23,760
nug12,TABU,600,1,19,23,802
nug12,TABU,624,2,20,24,832
nug12,TABU,622,1,18,21,842
nug12,TABU,588,1,18,22,880
nug12,TABU,590,2,21,26,710
nug12,TABU,604,3,22,27,814
nug12,TABU,586,2,24,31,840
nug12,TABU,600,1,16,20,760
tai15b,ANNEALING,51931827,38,9979,17719,53870552
tai15b,ANNEALING,51916044,37,9799,17039,616130812
tai15b,ANNEALING,51838891,42,10014,19525,616290102
