instance,algorithm,cost,time_msec,steps,checked_solutions,initial_cost
bur26f,STEEPEST,3794973,14,66,5850,4157469
bur26f,STEEPEST,3819678,15,63,6175,4269869
bur26f,STEEPEST,3782044,15,77,7150,4195132
bur26f,STEEPEST,3782932,16,61,6500,4333808
bur26f,STEEPEST,3814468,17,74,6825,4222411
bur26f,STEEPEST,3782978,17,73,7150,4224608
bur26f,STEEPEST,3796053,18,80,7475,4154410
bur26f,STEEPEST,3783621,12,54,4875,4367506
bur26f,STEEPEST,3811242,16,68,6500,4200156
bur26f,STEEPEST,3782806,18,88,7475,4360426
bur26f,STEEPEST,3802727,23,74,6825,4167608
bur26f,STEEPEST,3782760,16,81,6825,4278588
bur26f,STEEPEST,3819649,18,75,6500,4301564
bur26f,STEEPEST,3820430,19,88,7800,4218188
bur26f,STEEPEST,3823332,28,91,7475,4362420
bur26f,STEEPEST,3783228,12,55,5200,4131015
bur26f,STEEPEST,3803553,14,64,6175,4446578
bur26f,STEEPEST,3783332,18,75,6825,4118559
bur26f,STEEPEST,3804142,15,66,6175,4141169
bur26f,STEEPEST,3821590,17,86,6825,4168489
bur26f,STEEPEST,3782685,18,97,7475,4096357
bur26f,STEEPEST,3803895,15,70,6175,4206412
bur26f,STEEPEST,3804514,28,101,8450,4306281
bur26f,STEEPEST,3802668,17,90,7150,4160212
bur26f,STEEPEST,3792315,19,76,7150,4313764
bur26f,STEEPEST,3794952,23,55,5525,4171381
bur26f,STEEPEST,3792605,19,79,7800,4172100
bur26f,STEEPEST,3851642,16,61,6825,4124784
bur26f,STEEPEST,3804516,14,72,5850,4118908
bur26f,STEEPEST,3803886,16,87,6500,4122013
bur26f,STEEPEST,3787226,28,79,6825,4095907
bur26f,STEEPEST,3783012,19,72,8125,4205189
bur26f,STEEPEST,3813890,15,104,6500,4200731
bur26f,STEEPEST,3794893,15,75,6500,4223376
bur26f,STEEPEST,3783132,26,88,6500,4241178
bur26f,STEEPEST,3815411,33,78,9100,4270281
bur26f,STEEPEST,3814915,26,87,8775,4158443
bur26f,STEEPEST,3794893,16,70,6825,4112610
bur26f,STEEPEST,3783487,14,60,5850,4236943
bur26f,STEEPEST,3783033,21,77,6500,4314345
bur26f,STEEPEST,3783924,17,62,6500,4278659
bur26f,STEEPEST,3832922,26,76,8450,4095253
bur26f,STEEPEST,3808532,14,68,5200,4143597
bur26f,STEEPEST,3808419,14,68,5850,4210143
bur26f,STEEPEST,3783578,20,73,5850,4392750
bur26f,STEEPEST,3837716,18,75,6825,4336349
bur26f,STEEPEST,3810597,16,68,6825,4240267
bur26f,STEEPEST,3783348,19,73,6825,4476745
bur26f,STEEPEST,3783137,24,77,6500,4371613
bur26f,STEEPEST,3782510,18,79,6825,4368429
bur26f,STEEPEST,3800959,25,65,5525,4208825
bur26f,STEEPEST,3796232,19,94,8125,4223417
bur26f,STEEPEST,3795137,16,64,5850,4206969
bur26f,STEEPEST,3792780,25,75,7475,4110931
bur26f,STEEPEST,3813674,20,93,7150,4257504
bur26f,STEEPEST,3803886,17,84,6825,4052029
bur26f,STEEPEST,3800885,18,77,7475,4156615
bur26f,STEEPEST,3820430,16,85,6825,4238525
bur26f,STEEPEST,3796238,16,60,6500,4091692
bur26f,STEEPEST,3803853,13,59,5200,4130652
bur26f,STEEPEST,3795037,26,95,7150,4257830
bur26f,STEEPEST,3783208,26,88,6500,4171813
bur26f,STEEPEST,3783202,16,78,5525,4121466
bur26f,STEEPEST,3832855,19,83,7150,4172244
bur26f,STEEPEST,3783505,16,65,6500,3930448
bur26f,STEEPEST,3783328,15,66,6175,4097465
bur26f,STEEPEST,3811837,20,104,8450,4225535
bur26f,STEEPEST,3786700,17,68,6825,4121513
bur26f,STEEPEST,3813526,18,58,7150,4268272
